Driver,LapNumber,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,Compound,TyreLife,Stint,Team,TrackStatus,PitOutTime,PitInTime
BOT,3.0,108.245,31.064,34.0,43.181,SOFT,3.0,1.0,Kick Sauber,1,,0 days 00:22:09.632000
BOT,4.0,,,34.945,30.725,SOFT,1.0,2.0,Kick Sauber,1,0 days 00:25:23.321000,
BOT,5.0,83.467,26.572,27.491,29.404,SOFT,2.0,2.0,Kick Sauber,12,,
BOT,6.0,113.035,37.403,36.118,39.514,SOFT,3.0,2.0,Kick Sauber,1,,0 days 00:30:24.535000
ZHO,1.0,,,36.406,34.895,SOFT,1.0,1.0,Kick Sauber,1,0 days 00:11:34.445000,
ZHO,2.0,81.968,26.931,27.756,27.281,SOFT,2.0,1.0,Kick Sauber,1,,
ZHO,3.0,100.101,31.669,32.54,35.892,SOFT,3.0,1.0,Kick Sauber,1,,0 days 00:16:19.370000
ZHO,4.0,,,37.586,35.257,SOFT,1.0,2.0,Kick Sauber,1,0 days 00:18:19.368000,
ZHO,5.0,81.514,26.838,27.624,27.052,SOFT,2.0,2.0,Kick Sauber,1,,
ZHO,6.0,95.379,28.879,30.454,36.046,SOFT,3.0,2.0,Kick Sauber,1,,0 days 00:22:59.038000
ZHO,7.0,,,36.779,32.472,SOFT,1.0,3.0,Kick Sauber,1,0 days 00:25:18.215000,
ZHO,8.0,81.445,26.5,27.485,27.46,SOFT,2.0,3.0,Kick Sauber,12,,
ZHO,9.0,111.886,35.256,32.873,43.757,SOFT,3.0,3.0,Kick Sauber,21,,0 days 00:30:15.386000
